Title,Short Description,Images,Link,Paragraphs,Rating,Ideal Duration,Best Time
1. Ella,"Tucked into Badulla District, Ella is a charming laidback town drawing travelers to Sri Lanka's highlands with tea plantations, mountain jungles, and a cool climate. At an elevation of 1,041 meters, this wildlife-rich town has ancient caves, centuries-old secluded temples, and the famous Ella Gap - ...","images/1. Ella/0.jpg, images/1. Ella/1.jpg, images/1. Ella/2.jpg, images/1. Ella/3.jpg, images/1. Ella/4.jpg",https://www.holidify.com/places/ella/,"Tucked into Badulla District, Ella is a charming laidback town drawing travelers to Sri Lanka's highlands with tea plantations, mountain jungles, and a cool climate. At an elevation of 1,041 meters, this wildlife-rich town has ancient caves, centuries-old secluded temples, and the famous Ella Gap - a cleft between two hills overlooking lofty views. Ella is just 200km from Colombo, and its central location makes it a great starting point for exploring Sri Lanka's beautiful hill side. The town is most famous for its iconic nine arches railway bridge which is a fine example of colonial-era construction in Sri Lanka. A trek down the railway track to the bridge is a popular activity, especially around the time the train arrives. There are numerous quaint cafes, walking trails and guest houses nestled in the hills for a peaceful getaway. One can also visit the famous Lipton's Seat where the tea mogul Sir Thomas Lipton would oversee his ever-expanding empire. Hiking to the breathtaking Ella Rock and Little Adam's Peak through bamboo forests is an incredible accomplishment. Sri Lanka's second-highest waterfall, Diyaluma Falls, overlooks natural swimming pools in Ella's mountains. Connoisseurs of the world-famous Ceylon tea love the plantations, tea factories, and Ella Spice Garden. Ella's other popular attractions are Ellawala Falls and Ravana Caves, where King Ravana hid Princess Sita and now offers 82-metre-high ziplining. So whether for a fun-filled vacation with friends and family, digging into Lanka's past, or beating the heat in style, Sri Lanka's ""Little England"", Ella features something special for every history buff, nature enthusiast, and hiker, trekker and the modern traveller. Read More",4.0/5,Ideal duration:2 - 3 Days,Best Time:December - March
2. Galle,"Tucked into the southwest coast of Sri Lanka, Galle is a major city and UNESCO World Heritage Site. Blessed with imposing Dutch-colonial buildings, ancient churches and mosques, blond beaches, mansions and museums, quirky boutiques, and a convivial seaside promenade, Galle attracts locals, foreign t...","images/2. Galle/0.jpg, images/2. Galle/1.jpg, images/2. Galle/2.jpg, images/2. Galle/3.jpg, images/2. Galle/4.jpg",https://www.holidify.com/places/galle/,"Tucked into the southwest coast of Sri Lanka, Galle is a major city and UNESCO World Heritage Site. Blessed with imposing Dutch-colonial buildings, ancient churches and mosques, blond beaches, mansions and museums, quirky boutiques, and a convivial seaside promenade, Galle attracts locals, foreign travellers, history buffs and nature lovers alike. Galle consists of a new side and an old side. The old part inside the walls, called Galle Fort, or the Dutch Fort, is the highlight of the city. It is characterized by narrow cobblestone streets, historic buildings, and a fortress wall that offers panoramic views of the Indian Ocean. Inside the fort, visitors can explore the Dutch Reformed Church, the Old Dutch Hospital (now a shopping and dining complex), and various colonial-era houses and mansions. The Galle Lighthouse stands as a prominent landmark near the fort. It provides picturesque views of the coastline and the Indian Ocean. Beyond the fort, Galle showcases well-preserved colonial architecture throughout the city. Walking through the streets allows visitors to admire charming old buildings, vibrant markets, and atmospheric cafes. Galle is also perfect for a day trip from nearby Unawatuna and Mirissa. Galle, with its blend of history, culture, and natural beauty, offers a unique and charming experience for those exploring the southern coast of Sri Lanka. Read More",5.0/5,Ideal duration:2 days,Best Time:December - March
3. Sigiriya,"Sigiriya, often referred to as the ""Lion Rock,"" is an ancient rock fortress and UNESCO World Heritage Site located in the central Matale District of Sri Lanka. It is located between Dambulla and Habarane and is one of the most visited tourist destinations in Sri Lanka. Rising dramatically ...","images/3. Sigiriya/0.jpg, images/3. Sigiriya/1.jpg, images/3. Sigiriya/2.jpg, images/3. Sigiriya/3.jpg, images/3. Sigiriya/4.jpg",https://www.holidify.com/places/sigiriya/,"Sigiriya, often referred to as the ""Lion Rock,"" is an ancient rock fortress and UNESCO World Heritage Site located in the central Matale District of Sri Lanka. It is located between Dambulla and Habarane and is one of the most visited tourist destinations in Sri Lanka. Rising dramatically from the surrounding plains, Sigiriya is a colossal rock formation standing around 200 meters tall. Its sheer vertical walls and flattened summit once served as a fortified royal citadel. Sigiriya dates back to the 5th century AD when King Kashyapa chose this site as his capital and built a magnificent palace atop the rock. The fortress was abandoned after his death and transformed into a Buddhist monastery. There is a huge gateway shaped like a lion, and the place derives its name from this gateway. The rock fortress showcases the advanced engineering and architectural prowess of ancient Sri Lankan civilization. The remnants of the palace complex, including water gardens, frescoes, and the famous Lion Gate, depict the grandeur of its past. The highlight of the fortress is the colorful frescoes painted on the western face of the rock; it is believed that there were initially 500 such frescoes, but merely around 22 of them remain today. Another highlight is the Mirror Wall, a polished surface that once displayed reflective qualities and now bears ancient inscriptions and graffiti. The gigantic Lion’s Paws greet visitors before the summit. At the peak are the ruins of the royal palace of King Kashyapa I and 360-degree panoramas of the surrounding landscape. Sigiriya Museum at the foot of the rock has a plethora of artifacts related to Sigiriya on display for visitors seeking information regarding the site’s history. Ascending the rock involves climbing steep staircases and pathways, culminating in the Lion Platform. The rock fortress is surrounded by beautifully landscaped water gardens, reservoirs, and irrigation systems. Sigiriya stands as a testament to ancient Sri Lankan ingenuity and artistry, offering a captivating glimpse into the island's rich cultural heritage. It is a must-visit destination for history enthusiasts, archaeologists, and travelers seeking an unforgettable cultural experience. Read More",4.5/5,Ideal duration:1 day,Best Time:December - March
4. Colombo,"Discovered initially by traders two millennia ago, Colombo is Sri Lanka's largest economic corridor and tourist destination. As the island nation's capital city, Colombo is a cosmopolitan gateway to the wonders of Portuguese, Dutch and British colonial heritage, splendid tropical landscapes and dele...","images/4. Colombo/0.jpg, images/4. Colombo/1.jpg, images/4. Colombo/2.jpg, images/4. Colombo/3.jpg, images/4. Colombo/4.jpg",https://www.holidify.com/places/colombo/,"Discovered initially by traders two millennia ago, Colombo is Sri Lanka's largest economic corridor and tourist destination. As the island nation's capital city, Colombo is a cosmopolitan gateway to the wonders of Portuguese, Dutch and British colonial heritage, splendid tropical landscapes and delectable cuisines. The city is well connected to other places in Sri Lanka by rail and road. It is in Colombo that you can find it all; from the Lotus Tower, South Asia's tallest freestanding structure, world-class casinos like Bellagio and Ballys, and cinnamon plantation hiking trails. The city identifies with the classic form of urban tourism and offers a great experience of sightseeing, shopping and nightlife. Taking an open deck bus tour is the best way to sightsee around the city on a day of pleasant weather.  Against the ocean at Galle Face Green Promenade, Galle Fort and Lighthouse showcase astonishing Victorian relics in a snazzy neighbourhood with cafes. Pettah Market, acclaimed as a shopaholic's abode by tourists and locals, features vibrant oriental themes and colourful shops. Also, be sure to visit Mount Lavinia Beach and enjoy a beautiful day with the sunset at the end too. The Snow World Theme Park and Viharamahadevi Park are great places if you are travelling with kids. For the adventure enthusiast in you, indulge in some scuba diving in Chief Dragon and The Sierra. Colombo seamlessly blends adventure, luxury, culture, and history from regalia of 17th-century Kandyan Kings, colossal Buddha figures and Thambili-coconut drinks to amusement parks, malls and bustling bazaars. Read More",4.7/5,Ideal duration:3 days,Best Time:December - March
5. Hikkaduwa,"Hikkaduwa finds itself nuzzled in the Galle district of South Western Sri Lanka, 2 hours away from Colombo. The beaches of Hikkaduwa have been visited since the 1970s for their vibrant nightlife and cuisine. The beaches are a surfer's delight and have a large coral reef, the Hikkaduwa Cora...","images/5. Hikkaduwa/0.jpg, images/5. Hikkaduwa/1.jpg, images/5. Hikkaduwa/2.jpg, images/5. Hikkaduwa/3.jpg, images/5. Hikkaduwa/4.jpg",https://www.holidify.com/places/hikkaduwa/,"Hikkaduwa finds itself nuzzled in the Galle district of South Western Sri Lanka, 2 hours away from Colombo. The beaches of Hikkaduwa have been visited since the 1970s for their vibrant nightlife and cuisine. The beaches are a surfer's delight and have a large coral reef, the Hikkaduwa Coral Sanctuary, which is favourable for scuba diving and snorkelling. Hikkaduwa has some of the best scuba diving in Sri Lanka with unique dive sites such as wreck dives and spectacular reef dives. It is also touted to have the second best surfing in Sri Lanka. The shore is lined up with restaurants, shacks and bars overlooking the sea. Narigama beach, Sea turtle hatching and rescue centre, Tsunami education centre & museum, Gangarama Maha Vihara and the Hikkaduwa national park are the spectacular tourist sights here. You will find yourself enjoying a chilled cocktail on a deck in Hikkaduwa. Particularly corals, exotic fish and turtles are found aplenty in this resort town. There are numerous surfing schools, guesthouses and a quiet road perfect for long drives here. Read More",4.2/5,Ideal duration:1-2 Days,Best Time:December - March
6. Kandy,"Settled on a plateau encircled by lush mountains, Kandy is a large city in central Sri Lanka with biodiverse rainforests and tea plantations. Around 4 hours by road from Colombo, the city is famed for the Temple of the Tooth Relic, a UNESCO World Heritage Site and one of the most sacred Buddhist pla...","images/6. Kandy/0.jpg, images/6. Kandy/1.jpg, images/6. Kandy/2.jpg, images/6. Kandy/3.jpg, images/6. Kandy/4.jpg",https://www.holidify.com/places/kandy/,"Settled on a plateau encircled by lush mountains, Kandy is a large city in central Sri Lanka with biodiverse rainforests and tea plantations. Around 4 hours by road from Colombo, the city is famed for the Temple of the Tooth Relic, a UNESCO World Heritage Site and one of the most sacred Buddhist places in the world. Kandy is bountiful in nature with national parks like Udawattekele Sanctuary, and mystical cloud-laden peaks like Hanthana Mountain Range. Truly, the city is an epicentre of cultural, historical, spiritual and nature tourism. Overlooked by Kandy Viewpoint, Bogambara Lake is the city’s heart. Since 1807, the scenic lake has a flurry of historical sites and snazzy waterfront eateries. Kandy is a paradise for families and adventure lovers, featuring amazing activities to enjoy in Horton Plains National Park, Millennium Elephant Foundation, and Royal Botanical Garden. Hiking in the Knuckles Mountains brings you to grasslands and jagged peaks, while Riverton Gap’s trekking trails offer waterfalls like Huluganga Waterfall. To see Kandy’s famed tea estates, Giragama Plantations and Ranweli Spice Garden are the top destinations. Learn more about Lankan history at tourist hotspots like Ceylon Tea Museum, Commonwealth War Cemetery or the Royal Palace Of Kandy. Then, seek blessings at Lankatilaka and Degaldoruwa Temples. For a perfect finishing touch to your Kandy tour, take home beautiful handmade gems, antiques, Ceylon tea and Buddhist handicrafts from Main Market, Kandy City Centre and Buddhist Publication Society. Read More",4.2/5,Ideal duration:2-3 days,Best Time:December - March
7. Dambulla,"Dambulla, situated in central Sri Lanka, is a historic town renowned for its ancient cave temples and rich cultural heritage. It is approximately 148 kilometers northeast of Colombo and is easily accessible by road or rail. The centerpiece of Dambulla is the UNESCO World Heritage Site known as ...","images/7. Dambulla/0.jpg, images/7. Dambulla/1.jpg, images/7. Dambulla/2.jpg, images/7. Dambulla/3.jpg, images/7. Dambulla/4.jpg",https://www.holidify.com/places/dambulla/,"Dambulla, situated in central Sri Lanka, is a historic town renowned for its ancient cave temples and rich cultural heritage. It is approximately 148 kilometers northeast of Colombo and is easily accessible by road or rail. The centerpiece of Dambulla is the UNESCO World Heritage Site known as the Dambulla Cave Temple , also referred to as the Golden Temple of Dambulla. This complex consists of five caves carved into the rock face of a massive granite outcrop, each adorned with exquisite Buddhist murals and over 150 stunning statues of Buddha in various poses. It is Sri Lanka's best-preserved Buddhist shrine within ancient caves. In addition to its religious significance, Dambulla is surrounded by lush greenery and picturesque landscapes, making it a popular destination for nature lovers and outdoor enthusiasts. It is located close to the Sigiriya Rock Fortress , another UNESCO World Heritage Site and one of Sri Lanka's most iconic landmarks. Visitors to Dambulla often combine a visit to the cave temples with an excursion to Sigiriya, where they can climb the ancient rock fortress and marvel at its remarkable frescoes and panoramic views. Nature enthusiasts are drawn to Dambulla's picturesque hiking trails up the Arangala Mountain Peak and Jathika Namal Uyana Rose Quartz mountain, which offer sweeping views, ponds, and Buddhist temple ruins. Overall, Dambulla is a treasure trove of historical Buddhist and megalithic monuments, mountains with thick tropical forests and lakes, naturally formed sky-high rocks, and centuries-old temples. Read More",4.3/5,Ideal duration:2 - 3 Days,Best Time:December - March
8. Mirissa,"Mirissa, nestled along the southern coast of Sri Lanka, is a picturesque and laid-back beach town that attracts travelers seeking sun, sand, and serenity. What was a faint old beach town has now risen to be one of the most popular surfing and whale-watching destinations in Sri Lanka. The beach ...","images/8. Mirissa/0.jpg, images/8. Mirissa/1.jpg, images/8. Mirissa/2.jpg, images/8. Mirissa/3.jpg, images/8. Mirissa/4.jpg",https://www.holidify.com/places/mirissa/,"Mirissa, nestled along the southern coast of Sri Lanka, is a picturesque and laid-back beach town that attracts travelers seeking sun, sand, and serenity. What was a faint old beach town has now risen to be one of the most popular surfing and whale-watching destinations in Sri Lanka. The beach town is situated 150 kms south of Colombo and is dotted with palm trees, blue waters, and colorful boats adorning the shores. The main draw of Mirissa is its pristine beaches. The soft golden sands stretch along the coastline, providing a perfect setting for sunbathing, leisurely strolls, and enjoying breathtaking sunsets. Mirissa has a beautiful view along with a million things to do over here – Whale watching, snorkeling, surfing, and bodyboarding. The city offers the right balance between calm days and lively nights by the beach. The bright and lively coast has happy hours for a part of the day and candle-lit seafood dinners once the sun sets. The clear waters, bundled with turtles and aquatic life, are a sight to behold. The local cuisine in Mirissa is a delight for food enthusiasts. From classic cocktail mixes to coconut-induced delights, burgers from the beach shacks to kootu, rice, and curry – Mirissa is a traveler’s paradise. A scooter ride away are the Weligama, Dalawella, and Unawatuna beaches, and if you’re lucky enough, you’ll see how stilt fishing in the shallow waters. The Parrot Rock, the iconic coconut island, Elephant Transit Home, and Galle Fort are some picturesque locations on this shoreline. Overall, Mirissa offers a perfect blend of relaxation, adventure, and natural beauty, making it an unmissable destination for travelers exploring the wonders of Sri Lanka's southern coast. Read More",5.0/5,Ideal duration:2 - 3 Days,Best Time:December - March
9. Yala National Park,"Sprawled over 979 square kilometres, Yala National Park in southeast Sri Lanka is the nation’s largest and most-visited wildlife conservation zone. As Sri Lanka’s oldest wildlife sanctuary, Yala shelters a vast area of unspoiled jungles, grassland, and lagoons bordering the Indian Ocean. It is home ...",images/9. Yala National Park/0.jpg,https://www.holidify.com/places/yala-national-park/,"Sprawled over 979 square kilometres, Yala National Park in southeast Sri Lanka is the nation’s largest and most-visited wildlife conservation zone. As Sri Lanka’s oldest wildlife sanctuary, Yala shelters a vast area of unspoiled jungles, grassland, and lagoons bordering the Indian Ocean. It is home to the highest population of leopards on the planet, alongside Sri Lankan elephants, crocodiles, and over 400 bird species. Yala National Park is sectioned into five blocks, and there are eco-friendly campsites everywhere. The fascinating thing about hiking here is discovering the park’s diverse terrain, which includes marine wetlands, deciduous and thorn forests, and freshwater lakes and ponds, mainly composed of Precambrian-era metamorphic rocks. A large section of the park is covered by marshes and sandy beaches, where families enjoy picnics and swimming. Further inland, Sithulpawwa is an ancient Buddhist monastery where caves display centuries-old rock paintings. Magul Vihara is another pilgrimage site within the park displaying ancient ruins. The best way to enjoy a Yala National Park tour is to take Jeep safaris with a driver, but you can blaze your own trails with bicycles. Yala National Park remains closed for rejuvenation for six weeks from 1 September to 15 October every year. Read More",4.6/5,Ideal duration:1-3 days,Best Time:December - March
10. Bentota,"Bentota is a picturesque coastal town on the southwestern coast of Sri Lanka, around 62 kms from the capital city, Colombo. Blessed with natural beauty and a laid-back ambiance, Bentota is known for its pristine beaches, lush greenery, and tranquil waterways. It is a popular destination fo...","images/10. Bentota/0.jpg, images/10. Bentota/1.jpg, images/10. Bentota/2.jpg, images/10. Bentota/3.jpg, images/10. Bentota/4.jpg",https://www.holidify.com/places/bentota/,"Bentota is a picturesque coastal town on the southwestern coast of Sri Lanka, around 62 kms from the capital city, Colombo. Blessed with natural beauty and a laid-back ambiance, Bentota is known for its pristine beaches, lush greenery, and tranquil waterways. It is a popular destination for beach lovers, water sports enthusiasts, and families and couples seeking relaxation amidst tropical surroundings. Water sports are a major draw in Bentota, with a wide range of activities available for thrill-seekers and adventure enthusiasts. From jet skiing and windsurfing to snorkeling and scuba diving, there's no shortage of ways to explore the crystal-clear waters and vibrant marine life that abound off the coast of Bentota. The nearby Bentota River, fringed by mangrove forests and lush vegetation, provides opportunities for boat cruises, kayaking, and river safaris. Bentota is also home to the Brief Garden, an enchanting tropical garden created by renowned Sri Lankan architect Geoffrey Bawa. Spread across several acres, the garden features winding pathways, exotic plants, and tranquil ponds, providing a serene retreat for visitors to explore and unwind amidst nature's beauty. For those interested in wildlife, the nearby Lunuganga Estate, also designed by Geoffrey Bawa, offers a glimpse into the architect's creative genius and love for nature. The estate's lush gardens, winding pathways, and picturesque vistas make it a popular destination for nature lovers and architecture enthusiasts alike. With its pristine beaches, lush landscapes, and endless opportunities for exploration and relaxation, Bentota is truly a gem of the Sri Lankan coast. Read More",4.2/5,Ideal duration:2-3 days,Best Time:December - March
11. Trincomalee,"The quaint city of Trincomalee, also famously known as ‘Gokarna’, is nestled on the northeastern coast of Sri Lanka. It is a city steeped in history, blessed with natural beauty, and vibrant with cultural diversity. Whether looking to relax on the beach, explore cultural sites or swim with Turtles o...","images/11. Trincomalee/0.jpg, images/11. Trincomalee/1.jpg, images/11. Trincomalee/2.jpg, images/11. Trincomalee/3.jpg, images/11. Trincomalee/4.jpg",https://www.holidify.com/places/trincomalee/,"The quaint city of Trincomalee, also famously known as ‘Gokarna’, is nestled on the northeastern coast of Sri Lanka. It is a city steeped in history, blessed with natural beauty, and vibrant with cultural diversity. Whether looking to relax on the beach, explore cultural sites or swim with Turtles on Pigeon Island, Trinco is your ideal holiday destination. Trincomalee's cultural tapestry is rich and diverse, reflecting its centuries-old heritage. You can explore ancient temples, such as the Koneswaram Kovil, a Hindu temple perched atop Swami Rock with breathtaking views of the ocean, or the Seruvila Mangala Raja Maha Viharaya, a revered Buddhist temple nestled amidst lush greenery. One of the city's most iconic landmarks is its natural harbor, one of the largest and deepest in the world. Beyond its historical and cultural attractions, Trincomalee is renowned for its pristine beaches and crystal-clear waters. Nilaveli Beach, just north of the city, is famed for its powdery white sands and shallow turquoise waters, ideal for swimming, snorkeling, and diving. Pigeon Island National Park, a short boat ride away, offers stunning coral reefs teeming with marine life, making it a paradise for underwater enthusiasts. Trincomalee is also a haven for wildlife enthusiasts, with nearby nature reserves providing sanctuary to a diverse array of flora and fauna. The nearby Kanniya Hot Springs, with its natural thermal waters, offers visitors a chance to relax and rejuvenate amidst tranquil surroundings. Read More",4.2/5,Ideal duration:1 -2 Days,Best Time:December - March
12. Jaffna,"Jaffna is probably Sri Lanka's most historical city located at the northern tip on the country and the city from time to time had been passed under the rule of various kingdoms, governments and the armies. Unlike the country’s southern parts which are more influenced and in a way controlled by the B...","images/12. Jaffna/0.jpg, images/12. Jaffna/1.jpg, images/12. Jaffna/2.jpg, images/12. Jaffna/3.jpg, images/12. Jaffna/4.jpg",https://www.holidify.com/places/jaffna/,"Jaffna is probably Sri Lanka's most historical city located at the northern tip on the country and the city from time to time had been passed under the rule of various kingdoms, governments and the armies. Unlike the country’s southern parts which are more influenced and in a way controlled by the Buddhist and the Sinhalese, the northern realms including Jaffna have a strong influence of the Tamil and the Hindu cultures. Historically, it was the centre of the LTTE power struggle to capture the city in 1995 which resulted in the devastating Battle of Jaffna. The city has been through a lot, but still today it flourishes as one of the industrial cities of the country of Sri Lanka. The town of Jaffna’s main revenues are from tourism and the port business. The city, due to being under the rule of various kingdoms and governments has several monuments for its visitors, each reciting a different yet alluring tale. Some of its monuments include the Jaffna Fort, the Jaffna public library, Jaffna Palace ruins, the Nallur Kandaswamy temple and much more. Read More",5.0/5,Ideal duration:2-3 days,Best Time:December - March
